employee_id,salary_amount,salary_date
fa26da14-d925-4177-92b9-088755369326,2812.370,2024-01-05
aca7e8f8-49a4-418c-82cf-4ae705a62734,2072.380,2024-07-14
f27b3312-8b51-4f72-a1f4-caa4d94a8440,4828.160,2024-07-09
36011e07-ea68-48bd-9c09-3039fde2e401,1761.270,2024-03-11
1e6cf66b-c25a-4282-b67b-4962bfbb5470,4979.970,2024-05-12
23280bfc-cfbf-4715-8d06-bc0e294bcd36,6905.100,2024-02-08
03f20894-93c6-431a-aa76-b2eb2685ddd7,3698.610,2024-07-09
ae8de3b2-49dc-4283-a5df-211fef3e8456,5185.180,2024-04-20
841b9060-04e9-4dbf-b1c4-97e5985a46a4,9179.440,2024-02-25
7f9a45db-65fb-4eb1-afab-2378040397ef,8512.400,2024-01-04
19d8483a-2724-43f0-99d3-cfde222b853f,5028.450,2024-02-06
44c962b6-252b-4dde-9546-db252d4c66b4,4884.010,2024-06-04
81a4f70b-20d4-4a0a-af61-af3d00b6c07f,5883.310,2024-02-15
d5616621-7598-41c5-84b4-6a7f9b4dfe67,4721.210,2024-03-04
10269111-a9b0-4b9d-9418-7b35dd6e1c75,2083.850,2024-02-07
7fd6c41a-8747-4b0e-966b-8437801af301,4668.300,2024-06-24
3047f6d6-6ed3-4642-9f71-f8ff2c4ba321,9391.010,2024-01-07
fd7cfdd1-deb3-4729-be8e-3276c1919860,3989.650,2024-07-05
5b6b3a4f-a28c-46e9-ab83-2322e1e30518,2470.210,2024-06-09
23ffa3b2-1293-46d4-8fbd-38af6d0aebb7,7560.860,2024-03-26
b00a0240-f103-4b19-bbe9-bc87301715c3,1816.280,2024-01-21
00715ac6-537c-49fb-b7f9-445ef44576e1,5373.180,2024-07-12
65c44476-7846-42e9-a4da-5466c326e76a,9533.130,2024-07-09
52d955ad-ef98-4dee-8088-0d5c2d2117ee,4485.600,2024-03-08
6fea8ebb-88a1-4a1e-bc94-81eac10121f6,5105.250,2024-02-09
b97b567f-bf15-4f48-b231-dfc2d0e16c74,3013.010,2024-02-08
9c37404c-12a9-405a-b007-4838fc38d1d2,6339.770,2024-04-20
82f4f753-6453-41dc-ae76-74ec9599770d,1479.250,2024-03-31
2dd6884e-0052-4c20-913b-406ea25fd0ef,5468.130,2024-02-15
9b091877-6546-4e41-ace6-a3d753d6be67,4660.380,2024-05-01
d2a793ae-5357-4e61-ba04-f55bb629b660,4701.240,2024-01-06
7c431cb9-7174-4432-beae-dd639de636ad,9295.250,2024-07-19
a4c75498-e7b9-43c6-8dbe-8b8f1df2d390,9599.430,2024-01-09
3b6d5e23-c162-4f5a-ac4c-b5643d7de995,5088.380,2024-04-02
0616bf49-7d16-4c49-9aea-e5ebe22e36e8,7039.700,2024-06-20
e512bec9-5e80-4261-9901-dda076b34807,7880.940,2024-07-22
72f17686-11d8-41df-9d01-30a0ab05f705,6760.710,2024-01-02
48dbbd7f-6660-446a-be39-c20ea9af5ce4,9352.320,2024-03-15
1918ac13-f069-418d-94df-7b6ef5370a0e,7411.240,2024-04-07
e618431f-43cb-47f9-8cf0-5799aed4832b,3462.520,2024-01-12
1663c9b6-ed0c-4547-a450-078e64477906,5937.340,2024-02-25
153bc6ea-1b22-4bcf-af6b-aa395a1742f1,1896.720,2024-03-09
46f939e6-2d49-4e48-979a-839b3994a413,5650.630,2024-01-09
d62b5708-3ad6-433b-b14e-747ecb16fc27,3336.880,2024-05-06
97eebacc-a5fc-4f6e-8404-a7f0587f1435,3217.170,2024-05-02
5c70d04c-cea8-4c63-a632-d027a45c3491,1049.240,2024-02-26
1efc7c00-f86e-4dab-97d0-74509ce8747b,7566.970,2024-06-05
a3b3b0e1-3611-409e-babb-cbebac57c702,3331.020,2024-07-13
290296cf-ee72-4fa9-a971-079efec5e642,9024.550,2024-01-26
9aa3a9a4-fd0f-42b1-9a71-15446620e244,9346.330,2024-02-22
bd8fdf9b-8abb-4406-aef1-715e37f74d0d,7708.910,2024-01-07
